Nb of Nodes
500
From,To
0,94
1,30
2,182
3,344
4,122
5,285
6,257
7,423
8,81
9,439
10,174
11,318
12,60
13,148
14,367
15,103
16,499
17,257
18,2
19,437
20,149
21,371
22,316
23,220
24,487
25,289
26,52
27,321
28,331
29,215
30,40
31,23
32,91
33,164
34,141
35,417
36,491
37,446
38,34
39,20
40,277
41,208
42,153
43,158
44,218
45,26
46,447
47,437
48,457
49,311
50,298
51,118
52,204
53,441
54,362
55,221
56,112
57,408
58,146
59,490
60,120
61,295
62,390
63,114
64,470
65,210
66,162
67,486
68,376
69,302
70,2
71,145
72,468
73,131
74,245
75,486
76,330
77,229
78,394
79,379
80,278
81,100
82,310
83,391
84,319
85,41
86,252
87,203
88,53
89,218
90,4
91,431
92,374
93,218
94,409
95,204
96,207
97,447
98,128
99,361
100,68
101,416
102,9
103,453
104,237
105,472
106,445
107,323
108,409
109,140
110,463
111,157
112,441
113,56
114,35
115,252
116,192
117,401
118,351
119,328
120,262
121,162
122,452
123,95
124,383
125,215
126,283
127,269
128,301
129,202
130,187
131,408
132,7
133,236
134,340
135,172
136,25
137,22
138,332
139,211
140,124
141,330
142,315
143,392
144,133
145,252
146,130
147,331
148,234
149,92
150,108
151,149
152,211
153,214
154,52
155,299
156,256
157,11
158,397
159,403
160,31
161,354
162,52
163,234
164,45
165,469
166,131
167,370
168,437
169,482
170,22
171,377
172,187
173,437
174,405
175,239
176,327
177,325
178,267
179,443
180,386
181,25
182,247
183,436
184,440
185,66
186,84
187,284
188,68
189,84
190,177
191,417
192,30
193,204
194,498
195,250
196,336
197,454
198,495
199,83
200,193
201,129
202,281
203,181
204,30
205,239
206,341
207,315
208,79
209,417
210,475
211,137
212,378
213,82
214,167
215,132
216,311
217,74
218,70
219,46
220,156
221,387
222,341
223,449
224,175
225,133
226,441
227,62
228,479
229,9
230,374
231,310
232,303
233,398
234,271
235,198
236,465
237,122
238,489
239,347
240,474
241,314
242,12
243,11
244,317
245,133
246,439
247,301
248,76
249,244
250,100
251,223
252,241
253,257
254,249
255,218
256,149
257,118
258,321
259,340
260,199
261,49
262,457
263,68
264,307
265,272
266,284
267,213
268,281
269,203
270,339
271,237
272,365
273,466
274,158
275,116
276,228
277,491
278,21
279,338
280,440
281,51
282,258
283,333
284,191
285,134
286,317
287,71
288,272
289,401
290,375
291,475
292,140
293,404
294,257
295,229
296,73
297,306
298,345
299,187
300,256
301,199
302,450
303,141
304,255
305,472
306,268
307,38
308,65
309,53
310,129
311,140
312,199
313,2
314,187
315,337
316,287
317,173
318,431
319,455
320,117
321,286
322,122
323,290
324,43
325,378
326,462
327,407
328,385
329,5
330,155
331,380
332,328
333,196
334,324
335,302
336,307
337,350
338,17
339,185
340,320
341,261
342,449
343,15
344,166
345,419
346,255
347,348
348,85
349,283
